InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 8:26,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 8:26,2.75,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 8:26,3.39,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 8:26,3.39,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 8:26,7.65,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 8:26,4.25,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,12/1/2010 8:28,1.85,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 8:28,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 8:34,1.69,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,12/1/2010 8:34,2.1,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 8:34,2.1,13047,United Kingdom
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/2010 8:34,3.75,13047,United Kingdom
536367,22310,IVORY KNITTED MUG COSY,6,12/1/2010 8:34,1.65,13047,United Kingdom
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2010 8:34,4.25,13047,United Kingdom
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/1/2010 8:34,4.95,13047,United Kingdom
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 8:34,9.95,13047,United Kingdom
536367,21754,HOME BUILDING BLOCK WORD,3,12/1/2010 8:34,5.95,13047,United Kingdom
536367,21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 8:34,5.95,13047,United Kingdom
536368,21777,RECIPE BOX WITH METAL HEART,4,12/1/2010 8:35,7.95,13047,United Kingdom
536368,84988,SET 2 TEA TOWELS I LOVE LONDON,3,12/1/2010 8:35,4.95,13047,United Kingdom
536369,21756,DOORMAT NEW ENGLAND,6,12/1/2010 8:45,7.95,13047,United Kingdom
536370,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 9:00,1.65,13047,United Kingdom
536370,21724,RED  HARMONICA IN BOX,10,12/1/2010 9:00,1.25,13047,United Kingdom
536370,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 9:00,2.95,13047,United Kingdom
536371,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 9:01,2.55,13047,United Kingdom
536371,71053,WHITE METAL LANTERN,6,12/1/2010 9:01,3.39,13047,United Kingdom
536372,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 9:02,1.85,13047,United Kingdom
536373,21914,BLUE HARMONICA IN BOX,12,12/1/2010 9:03,1.25,13047,United Kingdom
536374,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/1/2010 9:04,1.65,13047,United Kingdom
536375,22960,JAM MAKING SET WITH JARS,6,12/1/2010 9:05,4.25,13047,United Kingdom
536376,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/1/2010 9:06,6.95,13047,United Kingdom
536377,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 9:07,3.39,13047,United Kingdom
