InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536665,71053,WHITE METAL LANTERN,6,12/1/2010 13:55,3.39,13047,United Kingdom
536666,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 13:56,2.75,13047,United Kingdom
536667,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 13:57,3.39,13047,United Kingdom
536668,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 13:58,3.39,13047,United Kingdom
536669,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 13:59,7.65,13047,United Kingdom
536670,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 14:00,4.25,13047,United Kingdom
536671,22633,HAND WARMER UNION JACK,6,12/1/2010 14:01,1.85,13047,United Kingdom
536672,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 14:02,1.85,13047,United Kingdom
536673,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 14:03,1.69,13047,United Kingdom
536674,22745,POPPY'S PLAYHOUSE BEDROOM,6,12/1/2010 14:04,2.1,13047,United Kingdom
536675,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 14:05,2.1,13047,United Kingdom
536676,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/2010 14:06,3.75,13047,United Kingdom
536677,22310,IVORY KNITTED MUG COSY,6,12/1/2010 14:07,1.65,13047,United Kingdom
536678,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2010 14:08,4.25,13047,United Kingdom
536679,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/1/2010 14:09,4.95,13047,United Kingdom
536680,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 14:10,9.95,13047,United Kingdom
536681,21754,HOME BUILDING BLOCK WORD,3,12/1/2010 14:11,5.95,13047,United Kingdom
536682,21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 14:12,5.95,13047,United Kingdom
536683,21777,RECIPE BOX WITH METAL HEART,4,12/1/2010 14:13,7.95,13047,United Kingdom
536684,84988,SET 2 TEA TOWELS I LOVE LONDON,3,12/1/2010 14:14,4.95,13047,United Kingdom
